Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆
H6: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999896),0.88653743,0.94851679,0.06197936,6.99117239,43.82786300,47.82446300,3.99660000,9.11885665,
Total,29.76556906,29.76634424,0.00077518,0.00260428,650.85455600,650.31835200,-0.53620400,-0.08238461,
Min basin decomposition according to INS: Electron Density SCF
C1: Min (node 2167) → C1: Min (node 4340) in NEF (0.99999161),1.95031480,1.83166410,-0.11865070,-6.08366916,35.13390200,34.47488800,-0.65901400,-1.87572106,
C1: Min (node 3369) → C1: Min (node 3390) in NEF (0.99999451),1.02353060,1.13377870,0.11024810,10.77135359,11.39991000,13.01611700,1.61620700,14.17736631,
C1: Min (node 4251) → C1: Min (node 2133) in NEF (0.99999836),1.11687560,1.28221570,0.16534010,14.80380626,14.27738100,16.67273100,2.39535000,16.77723667,
C1: Min (node 819) → C1: Min (node 2804) in NEF (0.99999443),1.91857710,1.79026840,-0.12830870,-6.68770101,34.66096100,33.58396800,-1.07699300,-3.10722198,
C2: Min (node 1562) → C2: Min (node 3048) in NEF (0.99999891),1.56926890,1.74175370,0.17248480,10.99141135,25.26984900,27.46408200,2.19423300,8.68320582,
C2: Min (node 2909) → C2: Min (node 19) in NEF (0.99999697),1.59694550,1.44728530,-0.14966020,-9.37165357,18.11894200,16.00916400,-2.10977800,-11.64404632,
C2: Min (node 4633) → C2: Min (node 4665) in NEF (0.99986300),1.38497670,1.12626530,-0.25871140,-18.67983772,18.38238300,13.38341800,-4.99896500,-27.19432513,
C2: Min (node 47) → C2: Min (node 4072) in NEF (0.99999969),1.49177100,1.69865310,0.20688210,13.86822106,24.00829600,26.92834600,2.92005000,12.16267077,
C3: Min (node 1562) → C2: Min (node 3048) in NEF (0.99999891),1.56926890,1.74175370,0.17248480,10.99141135,25.26984900,27.46408200,2.19423300,8.68320582,
C3: Min (node 2909) → C2: Min (node 19) in NEF (0.99999697),1.59694550,1.44728530,-0.14966020,-9.37165357,18.11894200,16.00916400,-2.10977800,-11.64404632,
