Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆
C2: Max (node 6132) → C2: Max (node 6118) in NEF (0.99999999),1.81084700,1.81723800,0.00639100,0.35292877,27.86901500,27.90821700,0.03920200,0.14066518,
C2: Max (node 6166) → C2: Max (node 6134) in NEF (0.99999983),2.37720370,2.36031220,-0.01689150,-0.71056174,34.67446300,34.20981300,-0.46465000,-1.34003517,
C3: Max (node 6110) → C2: Max (node 6158) in NEF (0.99999998),1.82744340,1.83640700,0.00896360,0.49049946,21.56572700,21.66698100,0.10125400,0.46951350,
C3: Max (node 6132) → C2: Max (node 6118) in NEF (0.99999999),1.81084700,1.81723800,0.00639100,0.35292877,27.86901500,27.90821700,0.03920200,0.14066518,
C3: Max (node 6166) → C2: Max (node 6134) in NEF (0.99999983),2.37720370,2.36031220,-0.01689150,-0.71056174,34.67446300,34.20981300,-0.46465000,-1.34003517,
C4: Max (node 6096) → C1: Max (node 6148) in NEF (0.99999992),2.39865550,2.40319870,0.00454320,0.18940611,37.23150900,37.14733000,-0.08417900,-0.22609613,
C4: Max (node 6126) → C1: Max (node 6168) in NEF (0.99999999),1.80649430,1.81715310,0.01065880,0.59002677,29.66752500,29.83720900,0.16968400,0.57195199,
C4: Max (node 6148) → C1: Max (node 6190) in NEF (0.99999999),1.83315120,1.81757520,-0.01557600,-0.84968441,31.09954500,30.76316500,-0.33638000,-1.08162354,
H1: Max (node 5452) → H5: Max (node 5486) in NEF (1.00000000),0.93638438,0.93725702,0.00087264,0.09319250,47.99532900,48.00074700,0.00541800,0.01128860,
H2: Max (node 5452) → H6: Max (node 5470) in NEF (1.00000000),0.94771464,0.94851679,0.00080215,0.08464046,47.82452400,47.82446300,-0.00006100,-0.00012755,
H3: Max (node 5458) → H4: Max (node 5462) in NEF (1.00000000),0.94446783,0.94551411,0.00104628,0.11077985,47.79003200,47.80125100,0.01121900,0.02347561,
H4: Max (node 5458) → H4: Max (node 5462) in NEF (1.00000000),0.94446783,0.94551411,0.00104628,0.11077985,47.79003200,47.80125100,0.01121900,0.02347561,
H5: Max (node 5452) → H5: Max (node 5486) in NEF (1.00000000),0.93638438,0.93725702,0.00087264,0.09319250,47.99532900,48.00074700,0.00541800,0.01128860,
H6: Max (node 5452) → H6: Max (node 5470) in NEF (1.00000000),0.94771464,0.94851679,0.00080215,0.08464046,47.82452400,47.82446300,-0.00006100,-0.00012755,
Total,29.76472390,29.76634424,0.00162034,0.00544383,651.43533800,650.31835200,-1.11698600,-0.17146537,
Min basin decomposition according to INS: Electron Density SCF
C1: Min (node 2150) → C1: Min (node 4340) in NEF (0.99999814),1.61368250,1.83166410,0.21798160,13.50833265,31.10433400,34.47488800,3.37055400,10.83628410,
C1: Min (node 3548) → C1: Min (node 2133) in NEF (0.99999132),1.27934860,1.28221570,0.00286710,0.22410624,16.14041800,16.67273100,0.53231300,3.29801248,
C1: Min (node 4251) → C1: Min (node 3390) in NEF (0.99959323),1.33250520,1.13377870,-0.19872650,-14.91375043,18.15832600,13.01611700,-5.14220900,-28.31873929,
C1: Min (node 790) → C1: Min (node 2804) in NEF (0.99998703),1.81276480,1.79026840,-0.02249640,-1.24099938,32.59550100,33.58396800,0.98846700,3.03252587,
C2: Min (node 1586) → C2: Min (node 4072) in NEF (0.99998918),1.70727960,1.69865310,-0.00862650,-0.50527752,28.08747700,26.92834600,-1.15913100,-4.12686052,
C2: Min (node 3021) → C2: Min (node 19) in NEF (0.99989568),1.32790420,1.44728530,0.11938110,8.99018920,13.71740300,16.00916400,2.29176100,16.70695976,
C2: Min (node 4634) → C2: Min (node 4665) in NEF (0.99991476),1.23895660,1.12626530,-0.11269130,-9.09566162,15.82254400,13.38341800,-2.43912600,-15.41551093,
C2: Min (node 55) → C2: Min (node 3048) in NEF (0.99998642),1.74135360,1.74175370,0.00040010,0.02297638,26.48178200,27.46408200,0.98230000,3.70934252,
C3: Min (node 1586) → C2: Min (node 4072) in NEF (0.99998918),1.70727960,1.69865310,-0.00862650,-0.50527752,28.08747700,26.92834600,-1.15913100,-4.12686052,
C3: Min (node 3021) → C2: Min (node 19) in NEF (0.99989568),1.32790420,1.44728530,0.11938110,8.99018920,13.71740300,16.00916400,2.29176100,16.70695976,
C3: Min (node 4634) → C2: Min (node 4665) in NEF (0.99991476),1.23895660,1.12626530,-0.11269130,-9.09566162,15.82254400,13.38341800,-2.43912600,-15.41551093,
C3: Min (node 55) → C2: Min (node 3048) in NEF (0.99998642),1.74135360,1.74175370,0.00040010,0.02297638,26.48178200,27.46408200,0.98230000,3.70934252,
