Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
C1: Max (node 6150) → C1: Max (node 6190) in NEF (0.99999932),1.94300600,1.81757520,-0.12543080,-6.45550245,32.39794300,30.76316500,-1.63477800,-5.04593147,
C2: Max (node 6098) → C2: Max (node 6158) in NEF (0.99999547),1.71255940,1.83640700,0.12384760,7.23172580,20.00482800,21.66698100,1.66215300,8.30875927,
C2: Max (node 6120) → C2: Max (node 6118) in NEF (0.99999901),1.84782080,1.81723800,-0.03058280,-1.65507391,28.83650800,27.90821700,-0.92829100,-3.21915192,
C2: Max (node 6148) → C2: Max (node 6134) in NEF (0.99999899),2.46371060,2.36031220,-0.10339840,-4.19685656,36.36230900,34.20981300,-2.15249600,-5.91958008,
C3: Max (node 6112) → C2: Max (node 6134) in NEF (0.99999644),2.28048340,2.36031220,0.07982880,3.50052099,32.21833200,34.20981300,1.99148100,6.18120454,
C3: Max (node 6140) → C2: Max (node 6118) in NEF (0.99999902),1.75576070,1.81723800,0.06147730,3.50146236,26.50133600,27.90821700,1.40688100,5.30871727,
C3: Max (node 6160) → C2: Max (node 6158) in NEF (0.99998873),1.96579570,1.83640700,-0.12938870,-6.58200137,23.67456100,21.66698100,-2.00758000,-8.47990381,
C4: Max (node 6118) → C1: Max (node 6190) in NEF (0.99999937),1.67891020,1.81757520,0.13866500,8.25922673,28.92724500,30.76316500,1.83592000,6.34668113,
C4: Max (node 6140) → C1: Max (node 6168) in NEF (0.99999715),1.81618360,1.81715310,0.00096950,0.05338117,30.93797900,29.83720900,-1.10077000,-3.55798936,
C4: Max (node 6166) → C1: Max (node 6148) in NEF (0.99998570),2.59815680,2.40319870,-0.19495810,-7.50370801,42.73858900,37.14733000,-5.59125900,-13.08246044,
H1: Max (node 5460) → H5: Max (node 5486) in NEF (0.99999884),1.01905320,0.93725702,-0.08179618,-8.02668398,54.16901600,48.00074700,-6.16826900,-11.38707965,
